id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
871ef0af-ad58-486c-988f-0bd19b5807d5,Isabel Sampaio,2002-02-28,945.814.675-99,21445-020,Gonçalves,PR,Brasil,F,(071) 3180 6643,94581467599@exemplo.com.br,2024-09-10
57239509-093c-4685-a688-c6826d392302,Benjamin Mendes,1939-09-27,419.131.711-78,47563872,Sá de Borges,SE,Brasil,F,(031) 4097-3349,41913171178@exemplo.com.br,2024-11-18
27e8778d-874d-45fe-a5ca-7600c7c1bb16,Henry Gabriel Nascimento,1959-10-05,859.578.936-87,39135582,Fernandes,SP,Brasil,F,(041) 1233-7837,85957893687@exemplo.com.br,2024-01-02
6fec2123-f31c-4207-90e4-0e3f50a51700,Luan Cassiano,1959-04-04,329.929.820-22,74830305,Azevedo da Prata,PB,Brasil,M,+55 84 0981-5081,32992982022@exemplo.com.br,2025-04-09
90fe1420-510c-48c4-8e65-7871f7b06f1d,Arthur Abreu,1987-01-04,011.211.286-97,69032-203,Sousa,TO,Brasil,F,(041) 1321 6585,01121128697@exemplo.com.br,2025-03-05
ac0297ed-a278-4adf-9981-9367d278096a,Ana Vitória Rocha,1973-10-19,575.867.071-95,58727-500,Dias Paulista,SE,Brasil,M,84 0782-2645,57586707195@exemplo.com.br,2023-08-30
faecc87c-637e-4df2-9879-b92c2430f063,Bruno Pacheco,1960-10-01,768.086.979-14,11118-947,Vasconcelos,PA,Brasil,F,81 6749-9743,76808697914@exemplo.com.br,2024-10-01
d35260b9-c251-4b4c-b1a1-6ee609f05eed,Alícia Costa,1961-12-21,410.410.175-43,37432-232,da Costa,SP,Brasil,M,+55 (011) 0711 0923,41041017543@exemplo.com.br,2024-07-14
c1a26549-6364-4296-940f-a5a286bd2e72,Sra. Maria Sophia Sampaio,1968-05-31,855.545.287-77,48518-056,Cassiano,RO,Brasil,F,+55 21 0759-1057,85554528777@exemplo.com.br,2024-07-21
f6c05932-4f7b-4495-a073-4fe614ebd1ce,Sr. Raul Borges,1968-12-23,170.844.506-09,63774504,Câmara,SP,Brasil,F,+55 51 6825 9332,17084450609@exemplo.com.br,2023-06-23
fc911adf-e2fb-4baf-bebb-259068ec7494,André Farias,1995-10-06,501.082.360-40,19894341,Costela,PR,Brasil,M,+55 (081) 9792-4571,50108236040@exemplo.com.br,2025-03-30
c17f9ee2-2162-400b-9f81-3fd8f4dff26b,Gabrielly Farias,2000-11-02,812.597.633-31,75547-426,Sales de Dias,MS,Brasil,M,+55 81 9598-8219,81259763331@exemplo.com.br,2023-08-21
52e7b039-7ab6-4a44-8df2-41181ef43d0a,Leandro Fernandes,1962-10-14,608.630.100-01,31548721,Pinto,PE,Brasil,M,+55 71 1635 7336,60863010001@exemplo.com.br,2023-10-23
30cec6fb-dfec-4ac8-a5fe-e99d1445c0b4,Dante Câmara,1992-04-24,290.454.351-15,60715610,Nascimento da Serra,PB,Brasil,M,(031) 5723 4441,29045435115@exemplo.com.br,2023-07-08
4726115d-0808-420f-8ea1-568705db87cf,Nicole Porto,1946-06-11,509.330.384-36,74066-969,Porto,BA,Brasil,F,(041) 8095 8984,50933038436@exemplo.com.br,2025-01-18
9ce86078-d08f-4345-8bd9-e571db8c2273,João Pedro da Mota,1957-05-26,625.905.977-98,60747-150,Albuquerque do Oeste,GO,Brasil,M,+55 (084) 7692-0852,62590597798@exemplo.com.br,2023-10-11
0800ed58-a341-4d80-904c-99f2f5f1683e,Srta. Ayla Rodrigues,1984-04-03,843.074.985-93,67996-359,Lima,MS,Brasil,M,31 0387 8381,84307498593@exemplo.com.br,2024-02-08
7e0bece9-8074-421e-bf2d-8fe5790d46d5,Heloisa Cardoso,1960-02-24,179.235.139-74,02755692,Aragão,RN,Brasil,M,(084) 6757 3645,17923513974@exemplo.com.br,2023-06-12
af15537d-9920-4807-bf43-19cfcf805745,Marina Melo,1937-06-29,813.575.466-76,20395-496,Nogueira da Serra,BA,Brasil,F,+55 (084) 5147 4071,81357546676@exemplo.com.br,2024-11-28
22e66a4e-bb47-4c1f-b372-09ca6bf3bfa7,Guilherme da Mota,1997-06-14,295.057.584-07,71076835,Moraes,RO,Brasil,F,+55 51 3762 0920,29505758407@exemplo.com.br,2023-09-18
f6f32654-e6f3-4c48-a2dd-c97435a4888d,Caleb Machado,1976-01-16,008.702.104-81,43229-605,Leão,PR,Brasil,F,0900-595-7083,00870210481@exemplo.com.br,2023-12-14
2896c7be-52f5-4827-a1c3-e6495e43ebae,Antony Martins,1954-02-06,866.629.527-35,95392515,Oliveira,AC,Brasil,F,+55 (011) 0880 0102,86662952735@exemplo.com.br,2024-11-19
b1d32127-e5c3-47a3-9590-6c7cb8e4a409,Yasmin Machado,1934-07-29,807.980.434-79,52590-282,Fonseca de Cunha,BA,Brasil,M,+55 (021) 4552-5985,80798043479@exemplo.com.br,2024-06-20
4d1b3f35-f49a-44c1-97f0-150ddc1319f8,Alice Oliveira,1976-11-27,058.367.537-45,60729433,da Costa de Brito,MA,Brasil,F,+55 (081) 1498-7288,05836753745@exemplo.com.br,2024-10-29
3b9fa228-2bb5-4ee9-bbe5-790ff5035ef2,Dr. Emanuel Sampaio,1943-04-26,806.983.998-57,41849749,Pastor,MG,Brasil,F,71 1414-7814,80698399857@exemplo.com.br,2023-08-29
db090553-d7cf-41bc-b467-4ab7fb77e20d,Asafe Fernandes,1955-12-27,807.098.135-75,55436671,Novaes do Campo,RN,Brasil,M,61 8037 1814,80709813575@exemplo.com.br,2023-12-23
8c6d077b-064d-465f-8de0-f27a55d80c1b,Diego Moura,1984-01-16,043.292.717-21,94936706,da Rocha dos Dourados,RJ,Brasil,F,+55 81 7024 6288,04329271721@exemplo.com.br,2025-04-16
9fc764d7-cfdc-45ad-b902-8bcdcf82ef24,Lunna Rocha,1975-10-30,034.714.325-69,18169-733,Dias,RR,Brasil,M,0800-055-5802,03471432569@exemplo.com.br,2024-04-08
55eda719-0281-4ca2-b194-355a11070de4,Sra. Marcela Barros,1962-05-16,741.662.106-17,73248886,Silva do Sul,SC,Brasil,M,+55 (081) 3379-7290,74166210617@exemplo.com.br,2023-09-29
68fc35dc-e8cb-4286-ac80-04e1a7d594ee,Antony Lopes,1959-10-18,170.858.818-18,70519947,Moreira,AP,Brasil,M,0300-770-9627,17085881818@exemplo.com.br,2023-11-11
111ebf52-3e40-4728-8b67-d0af8fa92f3f,Maria Luísa Pastor,1954-01-18,933.487.939-87,84611287,Cunha de Mendonça,PB,Brasil,M,+55 (071) 2089-9921,93348793987@exemplo.com.br,2023-11-04
cb1c7366-f20a-4e8d-a3e3-5581b3176ce6,Vitória Borges,1965-01-03,969.517.515-63,27940-649,Castro,SC,Brasil,F,(031) 2414-7475,96951751563@exemplo.com.br,2024-01-31
39edc565-9033-4b8b-9c98-612c4a615585,Maria Julia Novais,1943-07-20,927.242.139-29,24077-059,Silva de da Conceição,DF,Brasil,F,+55 (061) 5324-9522,92724213929@exemplo.com.br,2025-02-28
ea6f99b8-b48e-4bb3-82dc-66836bde0b41,Isadora Almeida,1988-04-30,063.407.784-23,22789-186,Gomes,MT,Brasil,F,(084) 1487 6183,06340778423@exemplo.com.br,2024-03-25
3f7196f9-752a-4da6-864d-5021ed8e85c6,Vitor Hugo Silveira,1941-03-22,884.479.863-60,25124-018,Viana de Gonçalves,SE,Brasil,M,+55 21 8648-8735,88447986360@exemplo.com.br,2024-03-30
723073bd-2ce5-4b60-93b8-cddd400efa5a,Clara Rocha,1960-05-25,432.301.360-70,53851683,Nascimento do Norte,RJ,Brasil,F,+55 71 7334-2872,43230136070@exemplo.com.br,2024-09-12
49aabc3c-906d-4645-af13-e4d74128aa47,Vinicius da Cunha,1936-01-11,165.385.040-07,66308124,Gonçalves,AP,Brasil,M,0800 987 7573,16538504007@exemplo.com.br,2024-01-15
5ea7383d-0de8-4508-9212-f8ee73ea09e2,João Pacheco,1955-12-08,182.091.124-27,81019-250,Pastor Paulista,CE,Brasil,M,+55 51 2353 0417,18209112427@exemplo.com.br,2024-06-17
418781e0-2fcc-47ea-8f36-d93f9ba9b3aa,Dr. Brayan Cavalcante,1955-12-26,438.833.376-73,05383060,Dias,SC,Brasil,M,0800 666 7554,43883337673@exemplo.com.br,2024-09-09
e0a0922b-e53e-4cc2-8d54-983e546d48eb,Bruna Aparecida,1964-08-16,893.275.212-42,96868-864,Costela,AL,Brasil,F,(051) 4403-3533,89327521242@exemplo.com.br,2024-10-08
3386d8a6-7c4b-454e-a8a3-cf186c851662,Sr. Gustavo Barros,1957-03-28,176.370.090-32,38828-181,Ramos do Campo,ES,Brasil,F,+55 71 5269 4401,17637009032@exemplo.com.br,2024-07-25
90bee745-5ffe-401d-94a5-9dda21a7c8eb,Anna Liz Fernandes,1962-07-13,968.896.275-92,48185-051,Aparecida de Ribeiro,RO,Brasil,F,+55 (084) 2300-6517,96889627592@exemplo.com.br,2025-02-10
109753cb-6de6-4e7b-ad9f-45f9bcfd38d3,Carolina Carvalho,1951-12-22,479.721.007-44,15133496,Pastor,AM,Brasil,M,71 9027-5265,47972100744@exemplo.com.br,2024-09-25
9443119f-6439-4a34-aceb-c722a68a468e,Maria Fernanda Silva,1941-03-18,844.080.347-90,02011-275,Barros,MT,Brasil,M,(071) 5275-7823,84408034790@exemplo.com.br,2024-05-09
d5814086-218b-4c2f-94f3-6765925eeb2f,Ravy da Costa,1975-02-19,748.160.583-23,45718612,Pereira Verde,SP,Brasil,F,+55 (061) 7895 7219,74816058323@exemplo.com.br,2024-05-20
3b22d57a-cd4e-4f7f-8cae-68b7572e1a5d,Liz Garcia,1945-11-25,149.897.689-74,57846-560,Gonçalves,MS,Brasil,M,+55 81 4335 1118,14989768974@exemplo.com.br,2023-10-29
7779c64a-e88d-44fd-aa46-940a5f75cd1a,Pietro Novaes,1973-04-08,089.762.297-16,44326-823,Borges,PR,Brasil,F,(051) 1556 6103,08976229716@exemplo.com.br,2024-03-17
7e715595-359e-4195-97e7-136bb3a72915,Enrico Farias,1940-08-20,287.549.244-85,94058-575,Rios,DF,Brasil,F,0800 383 8472,28754924485@exemplo.com.br,2024-03-30
ff8b1e72-58c6-4a8c-a9f5-9af5c102d739,Arthur Miguel Cunha,1971-05-19,374.134.498-38,30639-726,Alves de Moreira,PE,Brasil,F,0500-148-8835,37413449838@exemplo.com.br,2025-04-01
0acf37d5-4895-400c-b4d5-b606936346a9,Amanda Farias,1947-01-10,795.901.363-88,19069-823,Sampaio,MG,Brasil,M,+55 (031) 5103-6554,79590136388@exemplo.com.br,2024-03-25
333d1fd7-0d28-4aad-947c-807204831d0d,Ana Sophia da Luz,1948-06-09,266.814.278-09,52056497,Freitas da Mata,PI,Brasil,F,21 6322 5088,26681427809@exemplo.com.br,2024-02-28
49eb4af0-ad99-4348-81cf-3d9fb1ded81f,Dr. Valentim Moreira,1980-05-04,532.000.253-28,92181808,Garcia,AL,Brasil,M,41 4144-8939,53200025328@exemplo.com.br,2024-07-04
182e98e2-bf18-422a-a57a-23f2ca05b76d,Laís Porto,1947-09-21,388.746.133-16,61412869,Siqueira,TO,Brasil,M,11 6291 0423,38874613316@exemplo.com.br,2024-08-24
f90bc3fa-4105-431f-a9cf-5e63c33528ef,Ana Júlia Cavalcanti,1957-09-10,173.586.899-37,66869680,Ferreira,RR,Brasil,F,+55 (041) 6351 1428,17358689937@exemplo.com.br,2024-01-27
ce029d31-adad-42f4-80f7-958b17fd3458,Ana Sophia Azevedo,1953-08-26,157.447.728-21,52984-522,Nascimento,SC,Brasil,F,+55 (021) 2083 7571,15744772821@exemplo.com.br,2024-07-30
b4e67486-967e-4397-95a3-e4d21ea74d04,Isaac da Cruz,1994-06-28,707.826.177-85,72710210,Correia do Galho,SC,Brasil,F,+55 (021) 2400 7194,70782617785@exemplo.com.br,2024-10-30
5d726f39-8c1d-4683-a4b2-8e958f3f1de8,Mateus Camargo,1944-05-06,342.035.581-01,99792873,Araújo,SC,Brasil,F,+55 51 1356 0699,34203558101@exemplo.com.br,2023-06-15
66b8e6aa-199a-45b9-891b-6515fd73402a,Rafael Souza,1972-03-22,935.595.623-15,86805616,Alves,RN,Brasil,M,71 2626 0257,93559562315@exemplo.com.br,2024-02-19
d635702e-4926-4aa7-a316-3305ef291071,Vitor Sá,1962-02-14,003.520.778-46,65592754,Barbosa,RS,Brasil,M,0500-146-4591,00352077846@exemplo.com.br,2024-11-09
2c6eb744-1e4b-4654-8d5e-b8739350a260,Marina Rodrigues,2001-11-22,123.313.675-96,36447133,Garcia,MT,Brasil,F,+55 (011) 2187 0815,12331367596@exemplo.com.br,2024-10-21
d546668c-4776-45bf-8a3a-d45027a9ba25,Ravy Siqueira,2002-07-30,464.338.497-70,96200524,Brito,RN,Brasil,M,+55 (051) 2410 9631,46433849770@exemplo.com.br,2024-11-24
839f0a79-6c41-4e80-9416-8a2feda2f756,Renan Novais,1948-04-09,831.979.487-60,50524256,da Paz,AP,Brasil,M,+55 84 6536 4549,83197948760@exemplo.com.br,2024-11-08
f2aefc9b-ef83-44c4-8ccb-58ca3dbcd90b,Dr. Mathias Guerra,1968-05-24,548.789.190-30,37173578,Costela de Cavalcanti,MT,Brasil,M,(051) 3781 1013,54878919030@exemplo.com.br,2025-04-30
db356e6c-a831-4a15-8163-67e69d28924c,Theodoro Siqueira,1996-02-08,222.297.528-52,26048-184,Andrade de das Neves,MT,Brasil,M,+55 31 5020 7692,22229752852@exemplo.com.br,2023-10-23
5be0b582-a9fa-4963-bfb9-36b5d37a059a,Marcela Pimenta,1997-07-28,463.762.983-54,41105-685,Fernandes de Guerra,AL,Brasil,M,(071) 4099 0041,46376298354@exemplo.com.br,2024-06-13
968f01f9-6854-4b0a-9524-4de62d037008,Dr. Ian Farias,1964-02-25,609.173.702-29,13682627,Barbosa da Praia,RR,Brasil,F,(051) 2951-1508,60917370229@exemplo.com.br,2025-03-09
dd9edf78-c1ad-4504-a2e7-c6a99999b046,Natália Cassiano,1975-10-08,072.689.941-09,51286346,Rocha do Campo,PI,Brasil,M,(081) 3370 7136,07268994109@exemplo.com.br,2024-08-31
91c65939-5cfd-40e9-ac50-56d2f7715f93,Joaquim Costela,1973-10-22,143.630.104-81,95943782,Porto,BA,Brasil,F,+55 (021) 2711-2752,14363010481@exemplo.com.br,2023-06-23
3bd93a9b-0610-49fd-8481-0dbfa8184563,Evelyn Fonseca,1985-04-27,103.949.079-72,03502601,Aragão,SP,Brasil,F,61 1067 7593,10394907972@exemplo.com.br,2024-10-12
557a9d80-d6c7-4df5-a3cf-f6fe56119acf,Antonella da Mata,1935-04-05,002.097.287-98,82635-059,Carvalho da Serra,AC,Brasil,F,+55 81 1123 6453,00209728798@exemplo.com.br,2025-01-08
07cf59e7-d1ff-464f-ac5a-2293d90c53c7,Eduardo Santos,1966-09-27,959.263.948-27,01799-282,Barbosa de Gonçalves,AL,Brasil,F,+55 (021) 9305-8141,95926394827@exemplo.com.br,2024-06-05
e9b1dff8-44a5-4465-adbb-d20a2405ae2b,Stella Ferreira,1992-05-04,335.093.136-31,05144-095,Rezende,TO,Brasil,M,81 6388 9372,33509313631@exemplo.com.br,2025-05-27
30090486-15c2-41cd-8be5-f8de14a56087,Elisa Guerra,1978-09-30,316.183.300-31,25935-470,Garcia da Mata,RS,Brasil,M,84 6970-6331,31618330031@exemplo.com.br,2025-03-06
4bbd98cb-95b0-4405-97ac-165bd1e941eb,Cauã Souza,1959-04-22,275.839.325-91,28147184,Costa do Galho,RN,Brasil,F,11 9241 1123,27583932591@exemplo.com.br,2023-09-10
bb60a687-0e14-4cda-90e8-9eba93b8aa42,Bento Marques,1956-10-28,109.047.788-95,71416-162,Novaes,CE,Brasil,F,(041) 0229-9045,10904778895@exemplo.com.br,2023-10-02
c1c27f41-85c6-4d48-b21c-a30441012428,Yan Sampaio,1977-11-23,233.301.950-68,20563-986,Santos do Campo,RJ,Brasil,M,+55 31 1965-9552,23330195068@exemplo.com.br,2024-04-21
924d0a8f-ed9d-4429-8644-3072c38134db,Melissa Silva,1973-10-14,501.692.165-38,02583379,Oliveira,AL,Brasil,F,+55 (081) 5989 7888,50169216538@exemplo.com.br,2024-07-30
fc9dcc7d-48db-42cb-868b-9ec6f7c0e2df,Léo Souza,1947-01-15,340.028.412-42,26873824,Correia,AP,Brasil,F,(041) 9337-2980,34002841242@exemplo.com.br,2025-06-01
2b3dab2c-fe50-4496-b582-a913f096ad61,Natália Cavalcante,2001-09-13,740.524.678-74,32217754,Gomes,AM,Brasil,M,+55 31 0858 7204,74052467874@exemplo.com.br,2025-06-09
f9794371-f1c4-4c70-9059-ab51f2f9d4e6,Caleb Mendes,1999-11-18,323.006.074-87,59284908,Rodrigues,DF,Brasil,F,+55 61 1021 1712,32300607487@exemplo.com.br,2023-10-23
0e88115e-734b-472b-90fc-f0d6af4afe6b,Beatriz Farias,1947-07-24,426.383.991-73,16800-691,Siqueira de Sampaio,SE,Brasil,M,21 4203-3704,42638399173@exemplo.com.br,2025-02-16
d85da4af-aa74-4283-a6df-889fba2efda7,Dra. Ana Júlia Rios,1940-01-30,598.090.237-63,22540632,Campos,PR,Brasil,F,+55 (081) 2860 6699,59809023763@exemplo.com.br,2024-07-21
59b985df-8b3a-4388-b596-8a6296ff2bab,Sr. Luan Fonseca,1978-10-19,989.397.384-10,42573-577,Moraes do Amparo,RS,Brasil,M,+55 (061) 1703 9977,98939738410@exemplo.com.br,2025-05-12
7fbdcce2-092f-43ad-930b-3344624c094a,Davi Lucca Gonçalves,1985-06-10,955.616.078-04,46224918,Machado das Flores,PE,Brasil,M,21 2813-9622,95561607804@exemplo.com.br,2024-03-07
eea9cb9a-f806-4dba-8440-ff47d499c366,Sra. Maysa Teixeira,1945-05-12,884.040.618-88,18196401,Pastor do Oeste,RN,Brasil,F,+55 (061) 2863-0702,88404061888@exemplo.com.br,2024-01-29
b7006c0a-f9d8-44d9-b1fe-0c7e209ee5b4,Letícia Vieira,1992-04-30,761.948.537-90,30580-405,Ferreira da Serra,RJ,Brasil,M,81 5338-4326,76194853790@exemplo.com.br,2024-06-05
0695e4ca-c7a4-40aa-b702-ef6d704758bd,Maria Helena Ferreira,1978-03-27,685.147.402-90,42770-540,Almeida,RS,Brasil,M,(081) 9016-7833,68514740290@exemplo.com.br,2024-06-03
890b54c5-f717-49b6-89aa-3805fbc8df24,José Duarte,1934-10-25,757.545.002-59,33928-367,Oliveira,GO,Brasil,F,(031) 0386-0399,75754500259@exemplo.com.br,2023-09-20
0c397927-51f3-4ac6-9eaf-656581f576bf,Luigi Macedo,2004-01-24,271.051.973-99,67670-651,da Cruz Alegre,RO,Brasil,M,(081) 1582 4792,27105197399@exemplo.com.br,2023-09-10
4b32307a-6695-491f-900b-b6bebcf90a85,Luiz Miguel Moraes,1938-02-05,814.578.131-43,16724085,Lopes do Campo,ES,Brasil,M,+55 84 3600 8416,81457813143@exemplo.com.br,2024-04-08
fd4bc396-f11a-4c90-85ad-f0621ab61983,Maysa Souza,2005-01-30,918.460.942-29,97487-498,Peixoto,ES,Brasil,F,(071) 4905-7527,91846094229@exemplo.com.br,2023-06-16
e3bb2afb-38d3-47ff-a508-4eefc89ad8fc,Valentim Cardoso,1959-02-22,655.616.435-64,70080840,Cavalcante,RJ,Brasil,F,(061) 9170 8072,65561643564@exemplo.com.br,2023-12-16
b7499968-8315-4c05-befe-94416878d886,Dr. Enrico Fogaça,1981-11-22,875.406.269-15,74987-261,Costa Paulista,SC,Brasil,M,(084) 2958 7974,87540626915@exemplo.com.br,2024-03-13
54a6c6ea-6310-4300-910e-3ae4d51769d0,Davi Lucca Vargas,1985-07-29,850.059.375-65,15429-776,da Cunha do Oeste,PR,Brasil,M,(084) 6836 6220,85005937565@exemplo.com.br,2023-11-17
a128ca9a-43c9-4d49-9d29-492a6d3d2ad8,Dra. Clarice Pinto,1940-04-07,277.805.595-33,83207-988,Macedo,AC,Brasil,F,51 8811 8980,27780559533@exemplo.com.br,2025-05-04
e702044f-4bfd-497e-8578-41b506f611b2,Caroline Montenegro,1952-08-23,697.520.207-40,18630989,da Cruz de Nunes,AC,Brasil,F,21 2689-6132,69752020740@exemplo.com.br,2024-03-13
6f430482-d47e-40b2-be86-278bd47ad7d9,Ísis Costa,1948-05-18,248.958.851-69,12265-048,Andrade,AP,Brasil,M,(071) 1565-2864,24895885169@exemplo.com.br,2024-02-13
f1ddb07a-2c06-4b18-83f4-fdd00eb79a7f,Srta. Ana Cecília Dias,1998-06-24,672.808.344-59,50866-709,Freitas,AP,Brasil,M,+55 11 0025 0133,67280834459@exemplo.com.br,2025-03-23
72d94b7d-dc34-41aa-a78d-9c680234a622,Sra. Maria Vitória Aragão,2002-08-03,807.547.105-70,44477-842,da Mata Verde,ES,Brasil,M,+55 11 5094 8164,80754710570@exemplo.com.br,2024-09-13
